"Name","cli_configs.gen_kwargs.min_p","cli_configs.gen_kwargs.temperature","cli_configs.gen_kwargs.top_k","cli_configs.gen_kwargs.top_p","cli_configs.limit","task_configs.gsm8k_cot.generation_kwargs.min_p","task_configs.gsm8k_cot_llama.dataset_name","task_configs.gsm8k_cot_llama.dataset_path","task_configs.gsm8k_cot_llama.doc_to_target","task_configs.gsm8k_cot_llama.doc_to_text","task_configs.gsm8k_cot_llama.fewshot_config.sampler","task_configs.gsm8k_cot_llama.fewshot_config.samples","task_configs.gsm8k_cot_llama.fewshot_delimiter","task_configs.gsm8k_cot_llama.filter_list","task_configs.gsm8k_cot_llama.generation_kwargs.do_sample","task_configs.gsm8k_cot_llama.generation_kwargs.min_p","task_configs.gsm8k_cot_llama.generation_kwargs.temperature","task_configs.gsm8k_cot_llama.generation_kwargs.until","task_configs.gsm8k_cot_llama.metadata.version","task_configs.gsm8k_cot_llama.metric_list","task_configs.gsm8k_cot_llama.num_fewshot","task_configs.gsm8k_cot_llama.output_type","task_configs.gsm8k_cot_llama.repeats","task_configs.gsm8k_cot_llama.should_decontaminate","task_configs.gsm8k_cot_llama.tag","task_configs.gsm8k_cot_llama.target_delimiter","task_configs.gsm8k_cot_llama.task","task_configs.gsm8k_cot_llama.test_split","gsm8k_cot/exact_match,flexible-extract","gpqa_main_generative_n_shot/exact_match,flexible-extract","gsm8k_cot_llama/alias","gsm8k_cot_llama/exact_match,flexible-extract","gsm8k_cot_llama/exact_match,strict-match","gsm8k_cot_llama/exact_match_stderr,flexible-extract","gsm8k_cot_llama/exact_match_stderr,strict-match"
"noble-rain-37","0.7","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2857142857142857","","","","",""
"fine-deluge-77","0.7","2","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","0.4071266110689917","","","","","",""
"silvery-plant-62","0.7","0.5","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","0.4200151630022744","","","","","",""
"fresh-gorge-67","0.7","0.7","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","0.44124336618650495","","","","","",""
"sparkling-armadillo-52","0.7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24553571428571427","","","","",""
"confused-pine-82","0.7","3","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","0.4040940106141016","","","","","",""
"misunderstood-pyramid-57","0.7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24776785714285715","","","","",""
"curious-deluge-42","0.7","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28348214285714285","","","","",""
"earthy-paper-72","0.7","1","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","0.42153146322971946","","","","","",""
"blooming-smoke-47","0.7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27901785714285715","","","","",""
"mild-leaf-41","0.6","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28348214285714285","","","","",""
"giddy-grass-66","0.6","0.7","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","0.42077331311599697","","","","","",""
"chocolate-universe-46","0.6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2544642857142857","","","","",""
"generous-mountain-36","0.6","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28348214285714285","","","","",""
"visionary-breeze-61","0.6","0.5","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","0.4154662623199394","","","","","",""
"swept-plasma-81","0.6","3","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","0.35329795299469297","","","","","",""
"deft-dust-51","0.6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25669642857142855","","","","",""
"wandering-cherry-71","0.6","1","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","0.3957543593631539","","","","","",""
"lemon-totem-76","0.6","2","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","0.4162244124336619","","","","","",""
"twilight-dust-56","0.6","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","","","",""
"radiant-frost-45","0.5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24776785714285715","","","","",""
"scarlet-dew-70","0.5","1","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","0.41243366186504926","","","","","",""
"azure-pyramid-50","0.5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25669642857142855","","","","",""
"ancient-sunset-55","0.5","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24330357142857145","","","","",""
"robust-shape-35","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28348214285714285","","","","",""
"golden-butterfly-40","0.5","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28125","","","","",""
"avid-cosmos-60","0.5","0.5","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","0.4147081122062168","","","","","",""
"copper-salad-65","0.5","0.7","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","0.4177407126611069","","","","","",""
"easy-pond-75","0.5","2","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","0.3737680060652009","","","","","",""
"sandy-water-80","0.5","3","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","0.3237300985595148","","","","","",""
